Timestamp,From,To,Rate,Value,Change
1701105369,EUR,USD,1.0935,100,109.35
1701105371,EUR,USD,1.0935,100,109.35
1701105373,EUR,USD,1.0935,100,109.35
1701106024,EUR,USD,1.09309,100,109.31
1701106026,EUR,USD,1.09306,100,109.31
1701106030,EUR,USD,1.09306,100,109.31
1701106549,EUR,USD,1.09326,100,109.33
1701106559,EUR,USD,1.09323,100,109.32
1701106577,EUR,USD,1.09326,100,109.33
1701109465,AED,ARS,97.73119,3873.0,378512.9
1701109741,EUR,USD,1.09384,78126.0,85457.34
1701109847,USD,EUR,0.9141603,56142.0,51322.79
1701110308,USD,AUD,1.51476,653256.0,989526.06
1701110389,AUD,EUR,0.6034821,6723.0,4057.21
1701110419,AUD,EUR,0.60347,781.0,471.31
1701110528,EUR,AUD,1.65693,837.0,1386.85
1701149924,USD,EUR,0.9131419,1233.0,1125.9
